duquesne,55.94,0.45,23.94,0.32,18,0.77,594,126,106,240,57.1,62.5
cincinnati,58.22,0.44,20.17,0.31,21.28,0.67,698,120,78,268,57.1,57.1
tulane,56.94,0.42,22.33,0.36,19.33,0.71,571,147,40,298,55.6,100
texas-state,55.35,0.46,16.15,0.34,22.05,0.76,671,134,56,303,55.6,57.1
west-virginia,58.41,0.43,18.18,0.3,24.12,0.64,703,132,70,267,66.7,50
louisiana-lafayette,58.85,0.41,23,0.32,20.65,0.72,711,129,55,297,62.5,75
yale,57.19,0.46,23.81,0.36,19.5,0.7,634,95,67,206,55.6,37.5
indiana-state,54.76,0.47,18.71,0.4,18.88,0.68,563,100,56,216,66.7,28.6
arizona-state,61.83,0.43,21.83,0.32,19.94,0.68,651,143,62,293,44.4,60
new-hampshire,61.78,0.41,26.83,0.33,16.17,0.64,775,90,40,241,66.7,50
colorado-state,56.05,0.47,22.35,0.35,21.7,0.67,712,143,36,273,40,66.7
xavier,60.33,0.43,21.39,0.29,19.44,0.68,691,114,72,256,54.5,66.7
seattle,62.2,0.4,23.3,0.3,21.6,0.77,729,118,67,276,54.5,33.3
loyola-md,55.74,0.46,21.42,0.32,21.84,0.6,643,127,57,258,53.8,50
princeton,57,0.45,24.14,0.33,17.43,0.7,460,85,29,161,50,63.6
bradley,59.95,0.43,19.37,0.38,19.26,0.73,775,98,78,247,50,66.7
washington-state,62.74,0.41,24.42,0.31,18.95,0.73,704,125,46,301,54.5,0
bethune-cookman,62.26,0.42,19.26,0.31,22.21,0.71,737,142,53,303,50,45.5
providence,61.47,0.41,22.42,0.33,21.32,0.67,736,175,72,307,50,33.3
northern-kentucky,57.75,0.45,27.05,0.33,19.15,0.69,739,161,42,294,50,50
milwaukee,63.11,0.41,24.42,0.33,19.53,0.68,707,108,61,301,62.5,70
drake,56.11,0.47,22.32,0.33,15.79,0.69,652,110,68,254,50,50
morgan-state,58.45,0.44,18.4,0.29,22.35,0.71,748,110,74,298,33.3,44.4
northeastern,55.11,0.47,23.26,0.4,13.79,0.8,595,146,34,240,14.3,66.7
saint-louis,59.89,0.44,16.94,0.32,24.67,0.57,739,145,82,271,50,60
nebraska-omaha,60.95,0.45,17.75,0.35,16,0.7,730,99,69,229,85.7,30
ucla,57.28,0.43,17.44,0.3,21.17,0.69,688,119,66,236,50,50
stanford,54.17,0.49,19.5,0.4,17.78,0.68,616,140,74,306,50,25
cal-state-bakersfield,59.68,0.45,15.74,0.35,19.11,0.69,734,129,60,263,28.6,44.4
morehead-state,60.21,0.44,19.11,0.3,18.26,0.64,715,130,85,256,50,44.4
colorado,55.56,0.43,20.56,0.36,21.61,0.73,682,113,61,267,50,42.9
virginia-commonwealth,57.78,0.43,22.44,0.34,19.83,0.71,622,169,89,326,33.3,40
youngstown-state,61.35,0.41,22.45,0.3,19.35,0.68,786,132,55,255,57.1,40
delaware-state,61.12,0.41,23.65,0.32,20.47,0.71,571,126,29,259,57.1,28.6
middle-tennessee,60.74,0.42,24.63,0.34,18.32,0.66,682,131,68,276,40,37.5
virginia-tech,57.78,0.44,27.78,0.37,15.11,0.69,638,106,49,220,50,75
prairie-view,58.29,0.44,13.76,0.33,22.06,0.68,554,146,40,300,50,45.5
florida-atlantic,59.58,0.43,25.21,0.34,18.42,0.69,706,143,42,294,44.4,42.9
connecticut,59.47,0.42,20.41,0.33,20.06,0.71,661,110,120,266,50,44.4
east-carolina,57,0.42,19.72,0.28,22.17,0.72,645,114,62,233,50,33.3
quinnipiac,56.38,0.41,28.69,0.36,17.75,0.78,603,79,59,164,50,33.3
utah-valley,57.6,0.43,22.85,0.3,18.35,0.74,716,111,108,260,0,41.7
weber-state,57.29,0.45,21.47,0.34,16.65,0.68,539,98,63,228,50,44.4
hawaii,57.06,0.44,22,0.34,18.67,0.7,622,92,43,231,50,25
wagner,59.56,0.4,23.94,0.34,18.94,0.71,555,91,37,214,50,22.2
college-of-charleston,55.35,0.44,21.2,0.34,19.05,0.76,674,125,54,247,37.5,71.4
pacific,56.62,0.46,16.62,0.35,21.1,0.66,781,124,87,274,50,66.7
ball-state,58.39,0.44,27.67,0.34,16.44,0.66,638,134,60,268,50,25
