,0,1,2,3,4,5,6,7,8,9,10,11
125,delaware,25,56.08,.480,21.68,.360,17.32,.758,845,137,81,292
126,northern-arizona,22,57.72727272727273,.454,20.272727272727273,.379,17.954545454545453,.706,754,152,52,302
127,rutgers,24,59.791666666666664,.446,18.208333333333332,.295,18.458333333333332,.643,988,162,114,326
128,washington,24,54.625,.447,20.625,.335,20.958333333333332,.704,843,173,151,330
129,virginia-military-institute,25,60.08,.430,29.92,.357,14.16,.706,887,175,59,341
130,nebraska,23,62.26086956521739,.418,25.130434782608695,.334,18.956521739130434,.599,813,149,55,320
131,north-carolina-greensboro,25,63.96,.435,27.4,.324,15.8,.628,926,249,104,475
132,central-arkansas,24,60.333333333333336,.414,24.708333333333332,.320,24.5,.704,928,131,127,335
133,lafayette,23,56.30434782608695,.468,25.47826086956522,.365,14.130434782608695,.742,795,108,101,218
134,bryant,24,60.541666666666664,.416,27.916666666666668,.322,17.041666666666668,.685,941,177,106,315
135,florida,23,57.17391304347826,.445,20.695652173913043,.332,19.73913043478261,.725,829,139,89,303
136,st-francis-ny,24,61.0,.423,21.625,.304,16.291666666666668,.721,861,152,103,334
137,tulsa,23,55.21739130434783,.450,17.91304347826087,.318,20.565217391304348,.712,814,177,57,334
138,rice,25,57.96,.437,28.72,.351,19.6,.706,884,150,57,306
139,south-alabama,25,53.88,.466,16.48,.325,21.96,.734,823,188,89,348
140,eastern-kentucky,25,64.2,.406,26.76,.323,20.92,.723,844,243,54,474
141,mississippi-state,23,56.30434782608695,.464,16.347826086956523,.340,21.347826086956523,.749,886,129,116,273
142,duquesne,23,56.17391304347826,.446,24.217391304347824,.327,18.347826086956523,.739,798,157,136,313
143,cincinnati,23,57.17391304347826,.451,20.434782608695652,.319,21.130434782608695,.683,864,150,111,324
144,tulane,23,56.65217391304348,.414,23.434782608695652,.349,18.73913043478261,.701,700,190,53,374
145,texas-state,25,56.16,.454,16.04,.344,21.04,.764,835,164,68,379
146,west-virginia,23,59.52173913043478,.432,17.91304347826087,.303,24.82608695652174,.643,953,184,84,370
147,louisiana-lafayette,25,59.0,.411,23.6,.319,20.52,.731,891,149,75,349
148,yale,22,57.0,.474,24.09090909090909,.379,19.727272727272727,.700,858,135,78,276
149,indiana-state,23,53.869565217391305,.459,18.47826086956522,.391,18.608695652173914,.699,750,130,78,299
150,arizona-state,23,62.17391304347826,.422,22.52173913043478,.319,19.695652173913043,.687,855,183,82,378
151,new-hampshire,22,61.5,.415,25.636363636363637,.332,16.0,.651,933,110,49,286
152,colorado-state,25,56.56,.473,22.24,.371,21.56,.681,883,172,48,332
153,xavier,24,60.541666666666664,.432,21.208333333333332,.306,19.25,.654,959,142,90,318
154,seattle,24,62.25,.402,23.0,.306,22.75,.767,867,140,81,338
155,loyola-md,25,54.64,.469,20.4,.325,24.12,.643,837,174,72,332
156,princeton,19,55.94736842105263,.469,23.210526315789473,.347,16.526315789473685,.704,620,119,40,221
157,bradley,25,57.68,.438,18.44,.369,18.68,.737,973,121,96,313
158,washington-state,24,61.541666666666664,.405,24.041666666666668,.319,17.875,.725,867,162,60,373
159,bethune-cookman,23,61.34782608695652,.432,18.47826086956522,.325,23.52173913043478,.699,877,166,62,368
160,providence,24,60.708333333333336,.405,22.333333333333332,.317,20.208333333333332,.687,917,202,83,361
161,northern-kentucky,25,58.84,.441,27.0,.317,19.32,.689,930,200,52,364
162,milwaukee,25,62.52,.409,23.96,.316,18.44,.703,935,145,81,388
163,drake,25,56.12,.464,21.72,.344,15.36,.708,847,143,91,321
164,morgan-state,25,58.72,.426,18.48,.286,22.08,.705,970,137,102,370
165,northeastern,24,55.25,.474,22.166666666666668,.389,14.125,.805,745,189,41,314
166,saint-louis,24,59.5,.437,16.916666666666668,.333,23.125,.584,955,184,102,339
167,nebraska-omaha,25,60.6,.451,18.16,.348,17.12,.715,888,133,80,298
168,ucla,24,55.833333333333336,.437,18.041666666666668,.319,20.958333333333332,.710,889,164,79,309
169,stanford,23,54.608695652173914,.471,19.434782608695652,.383,16.869565217391305,.688,793,164,94,364
170,cal-state-bakersfield,24,59.166666666666664,.442,16.0,.333,18.75,.689,916,158,76,325
171,morehead-state,25,59.88,.438,19.32,.302,18.08,.642,942,156,113,318
172,colorado,24,54.541666666666664,.443,20.625,.372,22.291666666666668,.740,892,151,75,341
173,virginia-commonwealth,23,58.26086956521739,.438,21.869565217391305,.356,19.52173913043478,.717,787,220,106,410
174,youngstown-state,25,62.76,.422,23.16,.301,19.4,.674,998,150,66,305
175,delaware-state,22,61.13636363636363,.399,23.681818181818183,.303,20.363636363636363,.672,764,156,40,335
176,middle-tennessee,25,60.16,.422,24.32,.339,19.64,.674,898,167,79,343
177,virginia-tech,24,58.25,.431,27.458333333333332,.357,14.458333333333334,.692,835,142,66,292
178,prairie-view,23,57.56521739130435,.440,14.304347826086957,.301,22.652173913043477,.702,744,207,56,420
179,florida-atlantic,25,60.08,.425,25.08,.325,16.52,.692,924,186,51,379
180,connecticut,23,60.04347826086956,.413,21.434782608695652,.329,19.782608695652176,.721,882,158,152,367
181,east-carolina,24,56.708333333333336,.420,19.333333333333332,.284,21.791666666666668,.725,860,153,76,309
182,quinnipiac,22,55.72727272727273,.418,28.363636363636363,.362,16.5,.771,809,92,81,206
183,utah-valley,24,57.541666666666664,.430,22.208333333333332,.298,19.083333333333332,.705,870,140,134,307
184,weber-state,24,56.541666666666664,.459,21.041666666666668,.339,16.583333333333332,.698,759,134,92,301
185,hawaii,22,57.54545454545455,.439,22.5,.339,18.59090909090909,.702,756,117,52,276
186,wagner,22,59.0,.410,22.636363636363637,.321,18.363636363636363,.720,767,124,52,288
187,college-of-charleston,25,55.76,.442,22.04,.348,18.68,.773,845,155,66,295
188,pacific,27,56.629629629629626,.451,16.25925925925926,.349,19.962962962962962,.666,998,151,106,329
189,ball-state,23,58.21739130434783,.426,27.26086956521739,.335,16.652173913043477,.663,820,162,81,334
190,massachusetts,24,57.75,.431,22.708333333333332,.334,17.666666666666668,.684,775,170,73,354
191,mississippi,23,55.95652173913044,.431,19.391304347826086,.325,20.347826086956523,.718,786,168,61,324
192,canisius,23,57.08695652173913,.447,19.82608695652174,.303,17.695652173913043,.690,753,176,57,371
193,ohio,23,57.73913043478261,.447,24.52173913043478,.344,15.782608695652174,.678,821,140,60,292
194,binghamton,23,60.91304347826087,.410,29.565217391304348,.331,13.217391304347826,.714,819,112,75,224
195,missouri-kansas-city,25,56.64,.456,19.8,.372,16.6,.682,793,201,83,381
196,mercer,25,58.24,.449,20.44,.360,16.32,.730,901,170,68,331
197,campbell,24,55.666666666666664,.456,22.916666666666668,.340,14.75,.737,725,190,65,371
198,north-carolina,23,63.17391304347826,.414,18.565217391304348,.295,21.869565217391305,.648,1001,138,88,271
199,radford,23,56.08695652173913,.457,22.17391304347826,.351,18.52173913043478,.627,826,125,52,261
200,la-salle,22,58.45454545454545,.418,24.454545454545453,.344,18.59090909090909,.658,799,176,78,326
201,american,23,58.130434782608695,.453,20.869565217391305,.342,16.347826086956523,.710,748,168,79,305
202,north-dakota-state,25,56.0,.451,25.88,.348,18.36,.789,878,120,62,262
203,lipscomb,24,59.041666666666664,.439,21.916666666666668,.337,16.916666666666668,.680,849,128,60,321
204,ipfw,26,58.80769230769231,.435,25.807692307692307,.335,14.576923076923077,.675,915,186,73,347
205,purdue,24,59.916666666666664,.428,22.083333333333332,.353,15.125,.658,878,160,86,339
206,loyola-il,25,49.76,.499,15.72,.354,18.68,.668,742,197,42,400
207,chattanooga,25,57.92,.452,24.04,.361,16.08,.697,880,117,41,301
208,oklahoma-state,23,57.73913043478261,.410,20.782608695652176,.303,18.652173913043477,.723,835,163,87,331
209,davidson,22,56.18181818181818,.450,25.181818181818183,.356,16.136363636363637,.769,720,128,54,263
210,texas-pan-american,23,59.391304347826086,.432,18.217391304347824,.341,20.26086956521739,.700,752,192,90,409
211,stony-brook,25,58.8,.416,25.12,.346,19.72,.718,990,173,122,341
212,saint-josephs,23,61.73913043478261,.387,30.565217391304348,.304,18.565217391304348,.700,854,109,68,229
213,central-florida,23,57.43478260869565,.428,21.695652173913043,.319,17.73913043478261,.694,821,141,75,320
214,fresno-state,24,56.583333333333336,.420,27.0,.332,17.375,.712,882,121,86,255
215,troy,25,61.24,.404,26.32,.325,16.84,.677,929,138,72,371
216,new-mexico-state,25,54.52,.458,25.48,.352,16.88,.701,870,156,43,361
217,arkansas-little-rock,25,53.64,.470,17.8,.351,22.52,.714,896,179,89,361
218,temple,23,59.56521739130435,.411,21.130434782608695,.331,19.47826086956522,.681,869,189,64,318
219,lamar,24,59.583333333333336,.432,17.75,.326,20.166666666666668,.680,865,226,111,424
220,north-texas,25,52.84,.482,22.04,.394,16.0,.743,807,166,64,356
221,boston-university,25,59.12,.468,20.72,.328,16.4,.656,890,146,48,299
222,george-mason,23,57.65217391304348,.417,20.0,.309,19.695652173913043,.700,858,150,109,304
223,robert-morris,25,58.6,.432,23.28,.359,14.72,.655,852,160,43,383
224,army,23,57.52173913043478,.477,21.82608695652174,.325,14.130434782608695,.603,768,128,36,281
225,south-carolina,23,59.608695652173914,.438,18.91304347826087,.315,21.47826086956522,.617,856,178,102,353
226,texas-southern,23,60.47826086956522,.405,18.0,.278,23.217391304347824,.691,877,139,64,344
227,brown,19,57.73684210526316,.410,22.157894736842106,.321,20.42105263157895,.714,748,123,87,266
228,appalachian-state,25,54.72,.437,21.0,.316,21.52,.656,899,183,58,355
229,south-carolina-upstate,25,57.52,.429,20.48,.318,19.6,.694,817,152,60,348
230,portland,26,55.69230769230769,.436,19.307692307692307,.345,18.73076923076923,.665,851,146,98,338
231,liberty,26,51.61538461538461,.479,20.96153846153846,.365,15.5,.707,875,147,75,323
232,northwestern-state,22,59.81818181818182,.437,22.318181818181817,.344,18.681818181818183,.725,869,120,103,290
233,south-carolina-state,21,55.76190476190476,.434,17.333333333333332,.313,20.761904761904763,.766,736,91,34,248
234,drexel,25,56.6,.440,21.24,.350,16.92,.709,901,150,74,300
235,northern-illinois,24,58.5,.412,21.291666666666668,.342,16.583333333333332,.678,946,135,58,279
236,butler,24,53.75,.464,19.125,.342,16.916666666666668,.734,843,120,63,282
237,charleston-southern,24,58.166666666666664,.436,24.416666666666668,.329,16.25,.723,778,154,57,339
238,southern,23,58.130434782608695,.437,17.695652173913043,.329,17.91304347826087,.672,785,140,57,300
239,elon,26,57.07692307692308,.408,27.423076923076923,.356,16.23076923076923,.739,874,126,49,314
240,bucknell,25,57.8,.415,24.08,.334,16.96,.726,814,180,88,347
241,st-bonaventure,24,58.041666666666664,.434,19.541666666666668,.341,15.791666666666666,.739,883,139,85,310
242,nevada-las-vegas,25,57.48,.428,23.2,.314,20.08,.723,960,148,71,302
243,vermont,25,56.92,.441,24.32,.326,17.16,.725,926,149,83,324
244,wisconsin,24,55.458333333333336,.420,24.416666666666668,.333,14.583333333333334,.757,815,116,91,278
245,southeastern-louisiana,24,60.833333333333336,.410,21.625,.295,17.875,.655,787,191,43,423
246,iona,19,55.63157894736842,.427,25.36842105263158,.332,17.210526315789473,.740,623,145,63,268
247,north-alabama,24,55.541666666666664,.421,21.041666666666668,.331,21.25,.696,859,160,63,346
248,charlotte,23,51.34782608695652,.463,18.652173913043477,.340,20.608695652173914,.703,745,180,81,319
249,towson,25,57.0,.433,19.4,.344,19.52,.768,914,149,76,287
250,norfolk-state,24,57.708333333333336,.427,23.041666666666668,.335,19.125,.699,878,181,51,384
251,illinois-state,24,56.541666666666664,.427,22.375,.350,14.791666666666666,.687,799,133,64,331
252,texas-el-paso,25,54.12,.429,21.4,.286,19.08,.761,852,148,77,351
253,san-jose-state,24,59.625,.397,26.583333333333332,.298,20.666666666666668,.712,856,139,87,295
254,long-beach-state,24,56.666666666666664,.434,17.041666666666668,.357,18.583333333333332,.691,813,143,95,355
255,clemson,23,56.56521739130435,.417,26.347826086956523,.309,15.608695652173912,.669,787,161,56,314
256,arkansas-state,25,52.44,.444,16.76,.356,26.72,.707,813,168,73,354
257,coppin-state,25,61.08,.391,29.36,.271,18.56,.623,957,169,71,372
258,fairleigh-dickinson,22,57.45454545454545,.440,20.09090909090909,.339,16.863636363636363,.720,725,133,76,287
259,niagara,23,56.65217391304348,.425,20.91304347826087,.349,13.478260869565217,.739,628,169,57,337
260,georgia-tech,24,56.958333333333336,.451,17.25,.300,17.75,.655,863,166,116,327
261,western-michigan,23,56.08695652173913,.430,21.565217391304348,.325,22.434782608695652,.711,795,116,49,263
262,grand-canyon,23,55.30434782608695,.444,18.565217391304348,.323,19.565217391304348,.756,751,110,29,264
263,longwood,25,56.12,.403,26.96,.337,19.44,.718,861,182,51,373
264,idaho,23,55.52173913043478,.441,14.73913043478261,.330,17.47826086956522,.674,781,133,52,272
265,northwestern,22,56.77272727272727,.420,20.09090909090909,.326,15.136363636363637,.748,740,94,58,247
266,idaho-state,22,54.68181818181818,.456,19.136363636363637,.344,19.59090909090909,.643,735,102,53,253
267,howard,25,59.96,.416,22.12,.336,18.32,.694,816,150,82,356
268,holy-cross,25,57.48,.438,22.16,.336,14.2,.670,811,122,69,272
269,missouri,23,54.78260869565217,.403,23.08695652173913,.301,19.26086956521739,.774,803,167,67,346
270,montana-state,23,53.43478260869565,.439,18.130434782608695,.329,18.782608695652176,.743,812,129,50,256
271,george-washington,24,55.458333333333336,.421,23.458333333333332,.321,17.375,.724,807,127,105,260
272,detroit-mercy,25,59.16,.389,27.04,.324,18.4,.789,892,144,80,309
273,iupui,26,60.5,.411,23.53846153846154,.338,19.653846153846153,.644,941,170,71,342
274,albany-ny,24,54.875,.418,23.666666666666668,.342,20.25,.712,836,133,67,314
275,texas,23,57.08695652173913,.434,24.782608695652176,.335,11.434782608695652,.665,750,123,104,318
276,missouri-state,25,57.28,.432,19.56,.337,15.48,.744,909,150,64,297
277,tennessee,23,54.26086956521739,.425,20.17391304347826,.304,18.91304347826087,.749,812,139,135,306
278,san-diego,26,57.92307692307692,.412,20.423076923076923,.315,18.115384615384617,.652,889,151,87,353
279,loyola-marymount,24,52.083333333333336,.468,18.375,.320,16.875,.647,716,151,46,314
280,southern-mississippi,25,58.0,.444,16.84,.311,13.76,.747,869,152,63,309
281,jackson-state,23,59.391304347826086,.414,17.869565217391305,.258,18.82608695652174,.686,739,194,85,372
282,gardner-webb,23,57.30434782608695,.430,22.391304347826086,.351,20.08695652173913,.695,802,150,97,302
283,hartford,25,55.92,.416,22.16,.329,17.4,.697,847,187,62,341
284,north-carolina-central,23,55.30434782608695,.456,18.782608695652176,.306,17.608695652173914,.657,763,206,65,417
285,illinois-chicago,26,55.92307692307692,.439,22.03846153846154,.340,16.0,.688,929,146,112,319
286,kansas-state,23,54.82608695652174,.415,22.217391304347824,.325,18.869565217391305,.659,774,196,60,378
287,boston-college,24,57.166666666666664,.405,22.5,.300,18.041666666666668,.658,802,197,70,370
288,pittsburgh,24,56.5,.414,18.0,.303,19.916666666666668,.726,839,184,86,375
289,eastern-michigan,23,52.95652173913044,.420,19.91304347826087,.284,23.26086956521739,.621,806,248,80,401
290,columbia,22,59.86363636363637,.417,22.954545454545453,.321,13.590909090909092,.709,771,119,76,252
291,alabama-am,21,59.714285714285715,.382,19.904761904761905,.278,17.238095238095237,.704,716,127,43,260
292,monmouth,23,59.21739130434783,.403,21.347826086956523,.346,20.130434782608695,.739,782,185,62,368
293,jacksonville,26,56.5,.421,20.884615384615383,.315,18.23076923076923,.675,998,130,69,281
294,chicago-state,25,51.04,.412,17.64,.327,20.72,.720,744,134,67,307
295,saint-peters,22,55.09090909090909,.403,18.272727272727273,.348,21.681818181818183,.717,830,172,95,337
296,incarnate-word,23,57.21739130434783,.413,19.956521739130434,.285,18.304347826086957,.720,764,166,54,338
297,lehigh,24,57.416666666666664,.440,16.791666666666668,.333,14.958333333333334,.747,816,132,59,293
298,stetson,25,51.4,.440,17.36,.334,19.0,.648,868,154,63,289
299,california,23,52.52173913043478,.427,14.565217391304348,.343,17.782608695652176,.719,752,92,56,272
