,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
94,stephen-f-austin,82,Southeastern-Louisiana,71,53,.509,14,.357,32,.719,37,10,0,18,42.90,57,.439,28,.321,16,.750,27,8,2,19,1
95,stephen-f-austin,87,New-Orleans,68,58,.569,14,.500,19,.737,38,7,4,17,42.90,50,.400,14,.357,31,.742,18,8,1,14,1
96,stephen-f-austin,72,Texas-AM-Corpus-Christi,73,56,.411,14,.500,27,.704,24,9,3,15,81.80,43,.581,17,.588,14,.929,21,3,4,21,0
97,stephen-f-austin,77,Central-Arkansas,76,54,.537,27,.444,21,.333,31,9,1,17,42.90,59,.458,30,.367,15,.733,34,7,3,16,1
98,Incarnate-Word,56,stephen-f-austin,80,60,.383,22,.182,7,.857,27,7,4,21,0,53,.566,15,.400,22,.636,30,10,2,18,81.80
99,Northwestern-State,62,stephen-f-austin,69,54,.352,22,.182,23,.870,36,4,5,20,1,60,.350,15,.400,30,.700,33,13,3,13,42.90
100,Lamar,62,stephen-f-austin,70,40,.475,12,.417,23,.826,23,7,5,24,1,54,.444,12,.500,24,.667,29,13,2,16,42.90
101,Penn,81,alabama,80,68,.426,26,.308,20,.750,37,8,4,16,0,76,.355,38,.289,22,.682,43,10,5,19,81.80
102,Florida-Atlantic,59,alabama,78,69,.348,28,.179,17,.353,30,15,4,11,0,59,.441,29,.310,22,.773,45,5,5,19,81.80
103,alabama,79,Rhode-Island,93,66,.470,22,.227,16,.750,36,4,5,22,40.00,63,.524,16,.375,26,.808,28,13,6,12,1
104,Furman,73,alabama,81,68,.309,41,.268,26,.769,31,12,4,11,0,53,.509,21,.333,27,.741,36,7,6,21,81.80
105,UNC,76,alabama,67,71,.408,14,.357,21,.619,51,8,3,20,1,68,.382,31,.355,9,.444,27,6,4,14,40.00
106,alabama,89,Iowa-State,104,74,.419,26,.462,18,.833,44,8,3,17,40.00,69,.522,29,.517,24,.708,31,5,8,11,1
107,Southern-Miss,68,alabama,83,53,.491,12,.250,20,.650,25,10,2,15,1,52,.538,33,.455,22,.545,29,7,1,15,40.00
108,alabama,78,Stephen-F-Austin,68,47,.447,32,.344,35,.714,30,11,8,20,81.80,61,.393,13,.308,21,.762,33,12,0,19,0
109,alabama,71,Penn-State,73,76,.355,33,.273,14,.571,45,5,2,10,40.00,63,.365,27,.296,26,.731,44,6,7,16,1
110,alabama,105,Samford,87,64,.516,34,.500,26,.846,35,10,4,16,40.00,68,.485,28,.321,14,.857,31,6,3,19,1
